code,name,oldName,isCapital,provinceCode,districtCode,regionCode,islandGroupCode,psgc10DigitCode
012805000,City of Batac,,false,012800000,null,010000000,luzon,0102805000
012812000,City of Laoag,,true,012800000,null,010000000,luzon,0102812000
012906000,City of Candon,,false,012900000,null,010000000,luzon,0102906000
012934000,City of Vigan,,true,012900000,null,010000000,luzon,0102934000
013314000,City of San Fernando,,true,013300000,null,010000000,luzon,0103314000
015503000,City of Alaminos,,false,015500000,null,010000000,luzon,0105503000
015518000,City of Dagupan,,false,015500000,null,010000000,luzon,0105518000
015532000,City of San Carlos,,false,015500000,null,010000000,luzon,0105532000
015546000,City of Urdaneta,,false,015500000,null,010000000,luzon,0105546000
021529000,Tuguegarao City,,true,021500000,null,020000000,luzon,0201529000
023108000,City of Cauayan,,false,023100000,null,020000000,luzon,0203108000
023114000,City of Ilagan,,true,023100000,null,020000000,luzon,0203114000
023135000,City of Santiago,,false,023100000,null,020000000,luzon,0203135000
030803000,City of Balanga,,true,030800000,null,030000000,luzon,0300803000
031410000,City of Malolos,,true,031400000,null,030000000,luzon,0301410000
031412000,City of Meycauayan,,false,031400000,null,030000000,luzon,0301412000
031420000,City of San Jose Del Monte,,false,031400000,null,030000000,luzon,0301420000
034903000,City of Cabanatuan,,false,034900000,null,030000000,luzon,0304903000
034908000,City of Gapan,,false,034900000,null,030000000,luzon,0304908000
034917000,Science City of Muñoz,,false,034900000,null,030000000,luzon,0304917000
034919000,City of Palayan,,true,034900000,null,030000000,luzon,0304919000
034926000,San Jose City,,false,034900000,null,030000000,luzon,0304926000
035401000,City of Angeles,,false,035400000,null,030000000,luzon,0330100000
035409000,Mabalacat City,,false,035400000,null,030000000,luzon,0305409000
035416000,City of San Fernando,,true,035400000,null,030000000,luzon,0305416000
036916000,City of Tarlac,,true,036900000,null,030000000,luzon,0306916000
037107000,City of Olongapo,,false,037100000,null,030000000,luzon,0331400000
041005000,Batangas City,,true,041000000,null,040000000,luzon,0401005000
041014000,City of Lipa,,false,041000000,null,040000000,luzon,0401014000
041028000,City of Sto. Tomas,,false,041000000,null,040000000,luzon,0401028000
041031000,City of Tanauan,,false,041000000,null,040000000,luzon,0401031000
042103000,City of Bacoor,,false,042100000,null,040000000,luzon,0402103000
