code,name,regionCode,islandGroupCode,psgc10DigitCode
012800000,Ilocos Norte,010000000,luzon,0102800000
012900000,Ilocos Sur,010000000,luzon,0102900000
013300000,La Union,010000000,luzon,0103300000
015500000,Pangasinan,010000000,luzon,0105500000
020900000,Batanes,020000000,luzon,0200900000
021500000,Cagayan,020000000,luzon,0201500000
023100000,Isabela,020000000,luzon,0203100000
025000000,Nueva Vizcaya,020000000,luzon,0205000000
025700000,Quirino,020000000,luzon,0205700000
030800000,Bataan,030000000,luzon,0300800000
031400000,Bulacan,030000000,luzon,0301400000
034900000,Nueva Ecija,030000000,luzon,0304900000
035400000,Pampanga,030000000,luzon,0305400000
036900000,Tarlac,030000000,luzon,0306900000
037100000,Zambales,030000000,luzon,0307100000
037700000,Aurora,030000000,luzon,0307700000
041000000,Batangas,040000000,luzon,0401000000
042100000,Cavite,040000000,luzon,0402100000
043400000,Laguna,040000000,luzon,0403400000
045600000,Quezon,040000000,luzon,0405600000
045800000,Rizal,040000000,luzon,0405800000
174000000,Marinduque,170000000,luzon,1704000000
175100000,Occidental Mindoro,170000000,luzon,1705100000
175200000,Oriental Mindoro,170000000,luzon,1705200000
175300000,Palawan,170000000,luzon,1705300000
175900000,Romblon,170000000,luzon,1705900000
050500000,Albay,050000000,luzon,0500500000
051600000,Camarines Norte,050000000,luzon,0501600000
051700000,Camarines Sur,050000000,luzon,0501700000
052000000,Catanduanes,050000000,luzon,0502000000
054100000,Masbate,050000000,luzon,0504100000
056200000,Sorsogon,050000000,luzon,0506200000
060400000,Aklan,060000000,visayas,0600400000
060600000,Antique,060000000,visayas,0600600000
061900000,Capiz,060000000,visayas,0601900000
063000000,Iloilo,060000000,visayas,0603000000
064500000,Negros Occidental,060000000,visayas,0604500000
067900000,Guimaras,060000000,visayas,0607900000
071200000,Bohol,070000000,visayas,0701200000
072200000,Cebu,070000000,visayas,0702200000
074600000,Negros Oriental,070000000,visayas,0704600000
076100000,Siquijor,070000000,visayas,0706100000
082600000,Eastern Samar,080000000,visayas,0802600000
083700000,Leyte,080000000,visayas,0803700000
084800000,Northern Samar,080000000,visayas,0804800000
086000000,Samar,080000000,visayas,0806000000
086400000,Southern Leyte,080000000,visayas,0806400000
087800000,Biliran,080000000,visayas,0807800000
097200000,Zamboanga Del Norte,090000000,mindanao,0907200000
097300000,Zamboanga Del Sur,090000000,mindanao,0907300000
098300000,Zamboanga Sibugay,090000000,mindanao,0908300000
101300000,Bukidnon,100000000,mindanao,1001300000
101800000,Camiguin,100000000,mindanao,1001800000
103500000,Lanao Del Norte,100000000,mindanao,1003500000
104200000,Misamis Occidental,100000000,mindanao,1004200000
104300000,Misamis Oriental,100000000,mindanao,1004300000
112300000,Davao Del Norte,110000000,mindanao,1102300000
112400000,Davao Del Sur,110000000,mindanao,1102400000
112500000,Davao Oriental,110000000,mindanao,1102500000
118200000,Davao De Oro,110000000,mindanao,1108200000
118600000,Davao Occidental,110000000,mindanao,1108600000
124700000,Cotabato,120000000,mindanao,1204700000
126300000,South Cotabato,120000000,mindanao,1206300000
126500000,Sultan Kudarat,120000000,mindanao,1206500000
128000000,Sarangani,120000000,mindanao,1208000000
140100000,Abra,140000000,luzon,1400100000
141100000,Benguet,140000000,luzon,1401100000
142700000,Ifugao,140000000,luzon,1402700000
143200000,Kalinga,140000000,luzon,1403200000
144400000,Mountain Province,140000000,luzon,1404400000
148100000,Apayao,140000000,luzon,1408100000
160200000,Agusan Del Norte,160000000,mindanao,1600200000
160300000,Agusan Del Sur,160000000,mindanao,1600300000
166700000,Surigao Del Norte,160000000,mindanao,1606700000
166800000,Surigao Del Sur,160000000,mindanao,1606800000
168500000,Dinagat Islands,160000000,mindanao,1608500000
150700000,Basilan,150000000,mindanao,1900700000
153600000,Lanao Del Sur,150000000,mindanao,1903600000
153800000,Maguindanao,150000000,mindanao,1903800000
156600000,Sulu,150000000,mindanao,1906600000
157000000,Tawi-Tawi,150000000,mindanao,1907000000
