geographyFk,houseMedianPrice,listingCount,pagIbigRequiredLoan,pagIbigAmmortization,pagIbigCapacity,pagIbigGap,pagIbigLoanStatus,bankRequiredLoan,bankAmmortization,bankCapacity,bankGap,bankLoanStatus
103500000,718400.00,13,646560,3773.15,7401.10,-3627.95,Applicable,574720,4455.80,6343.80,-1888.00,Applicable
160300000,1166800.00,4,1050120,6128.22,6537.65,-409.43,Applicable,933440,7236.95,5603.70,1633.25,Not Applicable
128000000,688800.00,6,619920,3617.68,5937.75,-2320.07,Applicable,551040,4272.21,5089.50,-817.29,Applicable
104200000,5900000.00,2,5310000,30987.72,8234.80,22752.92,Not Applicable,4720000,36594.11,7058.40,29535.71,Not Applicable
126500000,591900.00,35,532710,3108.75,8570.10,-5461.35,Applicable,473520,3671.20,7345.80,-3674.60,Applicable
112500000,522000.00,34,469800,2741.63,6351.10,-3609.47,Applicable,417600,3237.65,5443.80,-2206.15,Applicable
012800000,3091500.00,6,2782350,16237.04,13062.70,3174.34,Not Applicable,2473200,19174.69,11196.60,7978.09,Not Applicable
041005000,1452400.00,1146,1307160,7628.23,11729.90,-4101.67,Applicable,1161920,9008.35,10054.20,-1045.85,Applicable
034900000,1027900.00,213,925110,5398.69,9439.15,-4040.46,Applicable,822320,6375.44,8090.70,-1715.26,Applicable
042105000,1459980.00,2742,1313982,7668.04,13347.25,-5679.21,Applicable,1167984,9055.37,11440.50,-2385.13,Applicable
045800000,1161600.00,921,1045440,6100.90,14759.85,-8658.95,Applicable,929280,7204.70,12651.30,-5446.60,Applicable
160200000,1623300.00,25,1460970,8525.82,7227.50,1298.32,Not Applicable,1298640,10068.34,6195.00,3873.34,Not Applicable
101300000,1158700.00,4,1042830,6085.67,7433.65,-1347.98,Applicable,926960,7186.71,6371.70,815.01,Not Applicable
099701000,2134000.00,31,1920600,11208.10,9167.20,2040.90,Not Applicable,1707200,13235.90,7857.60,5378.30,Not Applicable
043400000,1400000.00,1085,1260000,7353.02,12888.40,-5535.38,Applicable,1120000,8683.35,11047.20,-2363.85,Applicable
030800000,1574500.00,311,1417050,8269.52,11297.30,-3027.78,Applicable,1259600,9765.67,9683.40,82.27,Not Applicable
175300000,4800000.00,1,4320000,25210.35,7128.80,18081.55,Not Applicable,3840000,29771.48,6110.40,23661.08,Not Applicable
153800000,3884000.00,4,3495600,20399.37,4550.70,15848.67,Not Applicable,3107200,24090.09,3900.60,20189.49,Not Applicable
112300000,770000.00,117,693000,4044.16,7726.60,-3682.44,Applicable,616000,4775.84,6622.80,-1846.96,Applicable
137404000,2210000.00,997,1989000,11607.26,7207.55,4399.71,Not Applicable,1768000,13707.29,6177.90,7529.39,Not Applicable
036916000,1188000.00,508,1069200,6239.56,10728.20,-4488.64,Applicable,950400,7368.44,9195.60,-1827.16,Applicable
021500000,1528750.00,18,1375875,8029.23,9639.70,-1610.47,Applicable,1223000,9481.91,8262.60,1219.31,Not Applicable
141100000,4500000.00,24,4050000,23634.70,10000.90,13633.80,Not Applicable,3600000,27910.76,8572.20,19338.56,Not Applicable
063022000,1304700.00,585,1174230,6852.49,13962.90,-7110.41,Applicable,1043760,8092.26,11968.20,-3875.94,Applicable
060400000,1650000.00,6,1485000,8666.06,9596.30,-930.24,Applicable,1320000,10233.95,8225.40,2008.55,Not Applicable
031400000,900600.00,1776,810540,4730.09,10848.25,-6118.16,Applicable,720480,5585.87,9298.50,-3712.63,Applicable
112400000,2163000.00,222,1946700,11360.41,8529.15,2831.26,Not Applicable,1730400,13415.77,7310.70,6105.07,Not Applicable
064500000,1137700.00,404,1023930,5975.38,7051.80,-1076.42,Applicable,910160,7056.46,6044.40,1012.06,Not Applicable
035400000,1755900.00,828,1580310,9222.26,12585.65,-3363.39,Applicable,1404720,10890.78,10787.70,103.08,Not Applicable
126300000,1572100.00,133,1414890,8256.91,7345.80,911.11,Not Applicable,1257680,9750.78,6296.40,3454.38,Not Applicable
037100000,1200500.00,212,1080450,6305.21,8833.65,-2528.44,Applicable,960400,7445.97,7571.70,-125.73,Applicable
098300000,441540.00,8,397386,2319.04,7628.60,-5309.56,Applicable,353232,2738.60,6538.80,-3800.20,Applicable
175100000,529500.00,7,476550,2781.02,7850.85,-5069.83,Applicable,423600,3284.17,6729.30,-3445.13,Applicable
097200000,3270024.00,4,2943021.6,17174.68,6928.95,10245.73,Not Applicable,2616019.2,20281.97,5939.10,14342.87,Not Applicable
083700000,2277000.00,173,2049300,11959.16,7290.85,4668.31,Not Applicable,1821600,14122.85,6249.30,7873.55,Not Applicable
104300000,2855000.00,133,2569500,14994.90,8312.50,6682.40,Not Applicable,2284000,17707.83,7125.00,10582.83,Not Applicable
012900000,3671466.67,5,3304320.003,19283.11,10372.60,8910.51,Not Applicable,2937173.336,22771.87,8890.80,13881.07,Not Applicable
