geographyFk,families,reliability,totalProperties,medianPrice,medianPricePerSqm,medianLotArea,pagIbigRequiredLoan,pagIbigAmortization,pagIbigCapacity,pagIbigGap,pagIbigLoanStatus,bankRequiredLoan,bankAmortization,bankCapacity,bankGap,bankLoanStatus
133900000,510,High,404,4009185.0,109000.0,40.879999999999995,3608266.5,21056.86,14081.55,-6975.31,Not Applicable,3207348.0,24866.53,12069.9,-12796.63,Not Applicable
137401000,141,Moderate,155,4400000.0,156774.0,0.0,3960000.0,23109.49,19425.7,-3683.79,Not Applicable,3520000.0,27290.52,16650.6,-10639.92,Not Applicable
137405000,29,Very Low,51,5676000.0,22333.0,180.0,5108400.0,29811.24,24581.9,-5229.34,Not Applicable,4540800.0,35204.77,21070.2,-14134.57,Not Applicable
137404000,747,High,1002,3593920.0,105448.0,42.0,3234528.0,18875.83,14020.3,-4855.53,Not Applicable,2875136.0,22290.9,12017.4,-10273.5,Not Applicable
137402000,109,Moderate,21,5355000.0,55080.5,86.5,4819500.0,28125.29,16232.65,-11892.64,Not Applicable,4284000.0,33213.81,13913.7,-19300.11,Not Applicable
137403000,221,High,291,3794400.0,117003.0,0.0,3414960.0,19928.78,17219.3,-2709.48,Not Applicable,3035520.0,23534.35,14759.4,-8774.95,Not Applicable
137501000,392,High,155,1539000.0,16421.5,112.5,1385100.0,8083.07,11469.5,3386.43,Applicable,1231200.0,9545.48,9831.0,285.52,Applicable
137502000,90,Low,3,2964400.0,31113.0,622.0,2667960.0,15569.49,11100.95,-4468.54,Not Applicable,2371520.0,18386.37,9515.1,-8871.27,Not Applicable
137504000,173,Moderate,125,1462800.0,52700.0,180.0,1316520.0,7682.85,11756.15,4073.3,Applicable,1170240.0,9072.86,10076.7,1003.84,Applicable
137601000,163,Moderate,262,7560000.0,29000.0,280.0,6804000.0,39706.3,17352.3,-22354.0,Not Applicable,6048000.0,46890.08,14873.4,-32016.68,Not Applicable
137603000,159,Moderate,81,3339000.0,81000.0,31.49,3005100.0,17536.95,14763.7,-2773.25,Not Applicable,2671200.0,20709.79,12654.6,-8055.19,Not Applicable
137604000,206,High,232,3971000.0,101200.5,31.19,3573900.0,20856.31,16229.85,-4626.46,Not Applicable,3176800.0,24629.7,13911.3,-10718.4,Not Applicable
137605000,122,Moderate,77,4362100.0,54015.0,40.778000000000006,3925890.0,22910.43,13921.6,-8988.83,Not Applicable,3489680.0,27055.45,11932.8,-15122.65,Not Applicable
137602000,206,High,234,3909310.0,126546.0,12.5,3518379.0,20532.3,23319.8,2787.5,Applicable,3127448.0,24247.07,19988.4,-4258.67,Not Applicable
137607000,289,High,438,3583770.0,106312.5,0.0,3225393.0,18822.52,15155.0,-3667.52,Not Applicable,2867016.0,22227.94,12990.0,-9237.94,Not Applicable
141102000,107,Moderate,19,5191000.0,9405.0,414.0,4671900.0,27263.94,12926.55,-14337.39,Not Applicable,4152800.0,32196.61,11079.9,-21116.71,Not Applicable
12900000,174,Moderate,1,2839600.0,23468.0,121.0,2555640.0,14914.02,10372.6,-4541.42,Not Applicable,2271680.0,17612.31,8890.8,-8721.51,Not Applicable
15500000,769,High,160,49000.0,907.0,54.0,44100.0,257.36,8742.65,8485.29,Applicable,39200.0,303.92,7493.7,7189.78,Applicable
21500000,307,High,10,3926950.0,1168.0,665.0,3534255.0,20624.95,9639.7,-10985.25,Not Applicable,3141560.0,24356.48,8262.6,-16093.88,Not Applicable
99701000,427,High,48,1817000.0,1971.5,769.5,1635300.0,9543.17,8734.25,-808.92,Not Applicable,1453600.0,11269.75,7486.5,-3783.25,Not Applicable
30800000,215,High,194,1205050.0,27690.0,65.0,1084545.0,6329.11,11297.3,4968.19,Applicable,964040.0,7474.19,9683.4,2209.21,Applicable
31400000,921,High,624,2155250.0,23140.5,150.5,1939725.0,11319.71,10848.25,-471.46,Not Applicable,1724200.0,13367.7,9298.5,-4069.2,Not Applicable
34900000,601,High,32,612000.0,1810.5,375.0,550800.0,3214.32,9439.15,6224.83,Applicable,489600.0,3795.86,8090.7,4294.84,Applicable
35400000,583,High,319,1489500.0,37623.0,42.0,1340550.0,7823.09,12585.65,4762.56,Applicable,1191600.0,9238.46,10787.7,1549.24,Applicable
35401000,139,Moderate,76,1755900.0,50169.0,35.0,1580310.0,9222.26,14639.8,5417.54,Applicable,1404720.0,10890.78,12548.4,1657.62,Applicable
36916000,366,High,322,1058000.0,26806.0,49.5,952200.0,5556.78,10728.2,5171.42,Applicable,846400.0,6562.13,9195.6,2633.47,Applicable
37100000,178,Moderate,178,1179100.0,21590.0,55.0,1061190.0,6192.82,8833.65,2640.83,Applicable,943280.0,7313.24,7571.7,258.46,Applicable
37107000,63,Low,6,6400000.0,4597.0,400.0,5760000.0,33613.8,11242.0,-22371.8,Not Applicable,5120000.0,39695.31,9636.0,-30059.31,Not Applicable
41005000,813,High,102,1528700.0,10920.0,120.0,1375830.0,8028.97,11729.9,3700.93,Applicable,1222960.0,9481.6,10054.2,572.6,Applicable
42105000,1152,High,23,2270000.0,32316.0,60.0,2043000.0,11922.39,13347.25,1424.86,Applicable,1816000.0,14079.43,11440.5,-2638.93,Not Applicable
43400000,998,High,173,1767500.0,8000.0,223.0,1590750.0,9283.19,12888.4,3605.21,Applicable,1414000.0,10962.73,11047.2,84.47,Applicable
137404000,495,High,1002,3593920.0,105448.0,42.0,3234528.0,18875.83,7207.55,-11668.28,Not Applicable,2875136.0,22290.9,6177.9,-16113.0,Not Applicable
45624000,68,Low,270,1235000.0,5400.5,206.0,1111500.0,6486.41,10556.35,4069.94,Applicable,988000.0,7659.95,9048.3,1388.35,Applicable
45800000,778,High,739,1108800.0,8800.0,134.0,997920.0,5823.59,14759.85,8936.26,Applicable,887040.0,6877.21,12651.3,5774.09,Applicable
175200000,219,High,1,6169000.0,13618.0,453.0,5552100.0,32400.55,7769.3,-24631.25,Not Applicable,4935200.0,38262.55,6659.4,-31603.15,Not Applicable
175300000,249,High,1,4800000.0,2400.0,2000.0,4320000.0,25210.35,7128.8,-18081.55,Not Applicable,3840000.0,29771.48,6110.4,-23661.08,Not Applicable
50500000,311,High,3,3890500.0,22857.0,217.0,3501450.0,20433.51,8520.05,-11913.46,Not Applicable,3112400.0,24130.4,7302.9,-16827.5,Not Applicable
51700000,452,High,5,1385000.0,13244.0,162.0,1246500.0,7274.24,9400.3,2126.06,Applicable,1108000.0,8590.31,8057.4,-532.91,Not Applicable
56216000,188,Moderate,1,168019000.0,1000.0,168019.0,151217100.0,882461.95,6986.7,-875475.25,Not Applicable,134415200.0,1042119.61,5988.6,-1036131.01,Not Applicable
61900000,218,High,6,3400000.0,18182.0,176.0,3060000.0,17857.33,7792.4,-10064.93,Not Applicable,2720000.0,21088.13,6679.2,-14408.93,Not Applicable
63022000,532,High,164,2437275.0,11077.5,233.0,2193547.5,12800.95,9255.05,-3545.9,Not Applicable,1949820.0,15116.93,7932.9,-7184.03,Not Applicable
