geographyFk,families,reliability,monthlyIncome,monthlyExpenses,netIncome,capacityToPayPagibig,capacityToPayBank
133900000,510,High,40233,32517,7716,14081.55,12069.90
137401000,141,Moderate,55502,42349,13153,19425.70,16650.60
137405000,29,Very Low,70234,54065,16169,24581.90,21070.20
137404000,747,High,40058,32678,7380,14020.30,12017.40
137402000,109,Moderate,46379,37595,8784,16232.65,13913.70
137403000,221,High,49198,35453,13745,17219.30,14759.40
137501000,392,High,32770,24742,8028,11469.50,9831.00
137502000,90,Low,31717,24793,6924,11100.95,9515.10
137503000,63,Low,28082,22937,5145,9828.70,8424.60
137504000,173,Moderate,33589,25443,8146,11756.15,10076.70
137601000,163,Moderate,49578,32623,16955,17352.30,14873.40
137603000,159,Moderate,42182,31346,10836,14763.70,12654.60
137604000,206,High,46371,32041,14330,16229.85,13911.30
137605000,122,Moderate,39776,27749,12027,13921.60,11932.80
137602000,206,High,66628,42242,24386,23319.80,19988.40
137607000,289,High,43300,31018,12282,15155.00,12990.00
140100000,60,Low,22851,18707,4144,7997.85,6855.30
141100000,134,Moderate,28574,19823,8751,10000.90,8572.20
141102000,107,Moderate,36933,24448,12485,12926.55,11079.90
142700000,48,Low,26849,16724,10125,9397.15,8054.70
143200000,47,Low,32616,22827,9789,11415.60,9784.80
144400000,39,Low,26061,18046,8015,9121.35,7818.30
148100000,29,Very Low,31178,21147,10031,10912.30,9353.40
012800000,156,Moderate,37322,25183,12139,13062.70,11196.60
012900000,174,Moderate,29636,19339,10297,10372.60,8890.80
013300000,207,High,32777,21613,11164,11471.95,9833.10
015500000,769,High,24979,17597,7382,8742.65,7493.70
020900000,6,Very Low,36193,22362,13831,12667.55,10857.90
021500000,307,High,27542,18714,8828,9639.70,8262.60
099701000,427,High,24955,16852,8103,8734.25,7486.50
025000000,138,Moderate,24606,19223,5383,8612.10,7381.80
025700000,48,Low,25928,16411,9517,9074.80,7778.40
037700000,57,Low,25439,19564,5875,8903.65,7631.70
030800000,215,High,32278,23600,8678,11297.30,9683.40
031400000,921,High,30995,25002,5993,10848.25,9298.50
034900000,601,High,26969,21283,5686,9439.15,8090.70
035400000,583,High,35959,28654,7305,12585.65,10787.70
035401000,139,Moderate,41828,31118,10710,14639.80,12548.40
036916000,366,High,30652,24973,5679,10728.20,9195.60
037100000,178,Moderate,25239,21449,3790,8833.65,7571.70
037107000,63,Low,32120,27656,4464,11242.00,9636.00
041005000,813,High,33514,23309,10205,11729.90,10054.20
042105000,1152,High,38135,26124,12011,13347.25,11440.50
043400000,998,High,36824,27703,9121,12888.40,11047.20
137404000,495,High,20593,18090,2503,7207.55,6177.90
045624000,68,Low,30161,25058,5103,10556.35,9048.30
045800000,778,High,42171,30781,11390,14759.85,12651.30
174000000,59,Low,23375,18573,4802,8181.25,7012.50
175100000,132,Moderate,22431,15851,6580,7850.85,6729.30
175200000,219,High,22198,16525,5673,7769.30,6659.40
175300000,249,High,20368,13116,7252,7128.80,6110.40
175316000,81,Low,29543,19718,9825,10340.05,8862.90
175900000,78,Low,19966,16211,3755,6988.10,5989.80
050500000,311,High,24343,17970,6373,8520.05,7302.90
051600000,152,Moderate,23902,15864,8038,8365.70,7170.60
051700000,452,High,26858,16854,10004,9400.30,8057.40
052000000,61,Low,23516,19243,4273,8230.60,7054.80
054111000,210,High,20893,15335,5558,7312.55,6267.90
056216000,188,Moderate,19962,16959,3003,6986.70,5988.60
060400000,161,Moderate,27418,20630,6788,9596.30,8225.40
060600000,151,Moderate,25553,18032,7521,8943.55,7665.90
061900000,218,High,22264,18773,3491,7792.40,6679.20
063022000,532,High,26443,17881,8562,9255.05,7932.90
063022000,101,Moderate,39894,25554,14340,13962.90,11968.20
067900000,49,Low,22888,19893,2995,8010.80,6866.40
064500000,661,High,20148,16786,3362,7051.80,6044.40
064501000,147,Moderate,30597,24401,6196,10708.95,9179.10
074600000,347,High,21983,14068,7915,7694.05,6594.90
076100000,25,Very Low,29580,19188,10392,10353.00,8874.00
071200000,332,High,24374,16104,8270,8530.90,7312.20
072217000,849,High,24448,16151,8297,8556.80,7334.40
072217000,244,High,32199,21678,10521,11269.65,9659.70
072226000,132,Moderate,35687,24811,10876,12490.45,10706.10
072230000,124,Moderate,35401,23586,11815,12390.35,10620.30
082600000,136,Moderate,20891,16196,4695,7311.85,6267.30
083700000,507,High,20831,16424,4407,7290.85,6249.30
083747000,58,Low,34503,24793,9710,12076.05,10350.90
084800000,145,Moderate,24708,14818,9890,8647.80,7412.40
086000000,196,Moderate,19286,14933,4353,6750.10,5785.80
086400000,98,Low,25293,19207,6086,8852.55,7587.90
087800000,45,Low,25593,18068,7525,8957.55,7677.90
097200000,251,High,19797,15496,4301,6928.95,5939.10
097300000,230,High,19296,13781,5515,6753.60,5788.80
097332000,217,High,24689,21187,3502,8641.15,7406.70
098300000,172,Moderate,21796,16617,5179,7628.60,6538.80
099701000,27,Very Low,26192,18683,7509,9167.20,7857.60
101300000,363,High,21239,12421,8818,7433.65,6371.70
101800000,23,Very Low,27033,18757,8276,9461.55,8109.90
103500000,167,Moderate,21146,15348,5798,7401.10,6343.80
103504000,90,Low,32105,22005,10100,11236.75,9631.50
104200000,148,Moderate,23528,20283,3245,8234.80,7058.40
104300000,240,High,23750,16118,7632,8312.50,7125.00
104305000,205,High,32244,22031,10213,11285.40,9673.20
112300000,260,High,22076,18288,3788,7726.60,6622.80
112400000,209,High,24369,15560,8809,8529.15,7310.70
112402000,564,High,34409,19873,14536,12043.15,10322.70
112500000,154,Moderate,18146,13143,5003,6351.10,5443.80
118200000,195,Moderate,23143,13746,9397,8100.05,6942.90
118600000,86,Low,17150,12538,4612,6002.50,5145.00
129804000,347,High,25711,17735,7976,8998.85,7713.30
126300000,269,High,20988,16610,4378,7345.80,6296.40
126303000,173,Moderate,27652,20299,7353,9678.20,8295.60
126500000,201,High,24486,15183,9303,8570.10,7345.80
128000000,148,Moderate,16965,13526,3439,5937.75,5089.50
160200000,95,Low,20650,17490,3160,7227.50,6195.00
160202000,94,Low,31574,23611,7963,11050.90,9472.20
160300000,184,Moderate,18679,16513,2166,6537.65,5603.70
166700000,136,Moderate,27808,17414,10394,9732.80,8342.40
166800000,153,Moderate,20650,16888,3762,7227.50,6195.00
168500000,31,Low,21570,14218,7352,7549.50,6471.00
150700000,70,Low,16485,12918,3567,5769.75,4945.50
153600000,186,Moderate,21456,18093,3363,7509.60,6436.80
153800000,234,High,13002,12621,381,4550.70,3900.60
156600000,161,Moderate,19008,13328,5680,6652.80,5702.40
157000000,73,Low,15833,10223,5610,5541.55,4749.90
129804000,62,Low,19376,17936,1440,6781.60,5812.80
