cityCode,isCapital,provinceCode,cityName,provinceName,islandGroup
12805000,False,12800000,batac,ilocos norte,luzon
12812000,True,12800000,laoag,ilocos norte,luzon
12906000,False,12900000,candon,ilocos sur,luzon
12934000,True,12900000,vigan,ilocos sur,luzon
13314000,True,13300000,san fernando,la union,luzon
15503000,False,15500000,alaminos,pangasinan,luzon
15518000,False,15500000,dagupan,pangasinan,luzon
15532000,False,15500000,san carlos,pangasinan,luzon
15546000,False,15500000,urdaneta,pangasinan,luzon
21529000,True,21500000,tuguegarao,cagayan,luzon
23108000,False,23100000,cauayan,isabela,luzon
23114000,True,23100000,ilagan,isabela,luzon
23135000,False,23100000,santiago,isabela,luzon
30803000,True,30800000,balanga,bataan,luzon
31410000,True,31400000,malolos,bulacan,luzon
31412000,False,31400000,meycauayan,bulacan,luzon
31420000,False,31400000,san jose del monte,bulacan,luzon
34903000,False,34900000,cabanatuan,nueva ecija,luzon
34908000,False,34900000,gapan,nueva ecija,luzon
34917000,False,34900000,muñoz,nueva ecija,luzon
34919000,True,34900000,palayan,nueva ecija,luzon
34926000,False,34900000,san jose,nueva ecija,luzon
35401000,False,35400000,angeles,pampanga,luzon
35409000,False,35400000,mabalacat,pampanga,luzon
35416000,True,35400000,san fernando,pampanga,luzon
36916000,True,36900000,tarlac,tarlac,luzon
37107000,False,37100000,olongapo,zambales,luzon
41005000,True,41000000,batangas,batangas,luzon
41014000,False,41000000,lipa,batangas,luzon
41028000,False,41000000,sto. tomas,batangas,luzon
41031000,False,41000000,tanauan,batangas,luzon
42103000,False,42100000,bacoor,cavite,luzon
42105000,False,42100000,cavite,cavite,luzon
42106000,False,42100000,dasmariñas,cavite,luzon
42108000,False,42100000,general trias,cavite,luzon
42109000,False,42100000,imus,cavite,luzon
42119000,False,42100000,tagaytay,cavite,luzon
42122000,True,42100000,trece martires,cavite,luzon
43403000,False,43400000,biñan,laguna,luzon
43404000,False,43400000,cabuyao,laguna,luzon
43405000,False,43400000,calamba,laguna,luzon
43424000,False,43400000,san pablo,laguna,luzon
43425000,False,43400000,san pedro,laguna,luzon
43428000,False,43400000,santa rosa,laguna,luzon
45624000,True,45600000,lucena,quezon,luzon
45647000,False,45600000,tayabas,quezon,luzon
45802000,True,45800000,antipolo,rizal,luzon
175205000,True,175200000,calapan,oriental mindoro,luzon
175316000,True,175300000,puerto princesa,palawan,luzon
50506000,True,50500000,legazpi,albay,luzon
50508000,False,50500000,ligao,albay,luzon
50517000,False,50500000,tabaco,albay,luzon
51716000,False,51700000,iriga,camarines sur,luzon
51724000,False,51700000,naga,camarines sur,luzon
54111000,True,54100000,masbate,masbate,luzon
56216000,True,56200000,sorsogon,sorsogon,luzon
61914000,True,61900000,roxas,capiz,visayas
63022000,True,63000000,iloilo,iloilo,visayas
63035000,False,63000000,passi,iloilo,visayas
