geography,families,avgIncome,avgExpenses,monthlyIncome,monthlyExpenses,netIncome,geographyFk
manila,510,482790,390200,40233,32517,7716,133900000
mandaluyong,141,666020,508190,55502,42349,13153,137401000
san juan,29,842810,648780,70234,54065,16169,137405000
quezon,747,480700,392130,40058,32678,7380,137404000
marikina,109,556550,451140,46379,37595,8784,137402000
pasig,221,590370,425440,49198,35453,13745,137403000
caloocan,392,393240,296900,32770,24742,8028,137501000
malabon,90,380600,297510,31717,24793,6924,137502000
navotas,63,336980,275240,28082,22937,5145,137503000
valenzuela,173,403070,305320,33589,25443,8146,137504000
las piñas,163,594930,391480,49578,32623,16955,137601000
muntinlupa,159,506180,376150,42182,31346,10836,137603000
parañaque,206,556450,384490,46371,32041,14330,137604000
pasay,122,477310,332990,39776,27749,12027,137605000
makati,206,799540,506900,66628,42242,24386,137602000
paateros,14,504770,363610,42064,30301,11763,null
taguig,289,519600,372210,43300,31018,12282,137607000
abra,60,274210,224480,22851,18707,4144,140100000
benguet,134,342890,237880,28574,19823,8751,141100000
baguio,107,443200,293380,36933,24448,12485,141102000
ifugao,48,322190,200690,26849,16724,10125,142700000
kalinga,47,391390,273920,32616,22827,9789,143200000
mountain province,39,312730,216550,26061,18046,8015,144400000
apayao,29,374140,253760,31178,21147,10031,148100000
ilocos norte,156,447860,302190,37322,25183,12139,012800000
ilocos sur,174,355630,232070,29636,19339,10297,012900000
la union,207,393320,259350,32777,21613,11164,013300000
pangasinan,769,299750,211160,24979,17597,7382,015500000
batanes,6,434320,268340,36193,22362,13831,020900000
cagayan,307,330500,224570,27542,18714,8828,021500000
isabela,427,299460,202220,24955,16852,8103,099701000
nueva vizcaya,138,295270,230680,24606,19223,5383,025000000
quirino,48,311140,196930,25928,16411,9517,025700000
aurora,57,305270,234770,25439,19564,5875,037700000
bataan,215,387330,283200,32278,23600,8678,030800000
bulacan,921,371940,300020,30995,25002,5993,031400000
nueva ecija,601,323630,255400,26969,21283,5686,034900000
pampanga,583,431510,343850,35959,28654,7305,035400000
angeles,139,501930,373410,41828,31118,10710,035401000
tarlac,366,367820,299670,30652,24973,5679,036916000
zambales,178,302870,257390,25239,21449,3790,037100000
olongapo,63,385440,331870,32120,27656,4464,037107000
batangas,813,402170,279710,33514,23309,10205,041005000
cavite,1152,457620,313490,38135,26124,12011,042105000
laguna,998,441890,332440,36824,27703,9121,043400000
quezon,495,247110,217080,20593,18090,2503,137404000
lucena,68,361930,300700,30161,25058,5103,045624000
rizal,778,506050,369370,42171,30781,11390,045800000
marinduque,59,280500,222870,23375,18573,4802,174000000
occidental mindoro,132,269170,190210,22431,15851,6580,175100000
oriental mindoro,219,266370,198300,22198,16525,5673,175200000
palawan,249,244420,157390,20368,13116,7252,175300000
puerto princesa,81,354520,236610,29543,19718,9825,175316000
romblon,78,239590,194530,19966,16211,3755,175900000
albay,311,292120,215640,24343,17970,6373,050500000
camarines norte,152,286820,190370,23902,15864,8038,051600000
camarines sur,452,322290,202250,26858,16854,10004,051700000
catanduanes,61,282190,230910,23516,19243,4273,052000000
masbate,210,250720,184020,20893,15335,5558,054111000
sorsogon,188,239540,203510,19962,16959,3003,056216000
aklan,161,329010,247560,27418,20630,6788,060400000
antique,151,306640,216380,25553,18032,7521,060600000
capiz,218,267170,225280,22264,18773,3491,061900000
iloilo,532,317320,214570,26443,17881,8562,063022000
iloilo,101,478730,306650,39894,25554,14340,063022000
guimaras,49,274650,238720,22888,19893,2995,067900000
negros occidental,661,241780,201430,20148,16786,3362,064500000
bacolod,147,367160,292810,30597,24401,6196,064501000
negros oriental,347,263800,168820,21983,14068,7915,074600000
siquijor,25,354960,230260,29580,19188,10392,076100000
bohol,332,292490,193250,24374,16104,8270,071200000
cebu,849,293380,193810,24448,16151,8297,072217000
cebu,244,386390,260130,32199,21678,10521,072217000
lapu-lapu,132,428240,297730,35687,24811,10876,072226000
mandaue,124,424810,283030,35401,23586,11815,072230000
eastern samar,136,250690,194350,20891,16196,4695,082600000
leyte,507,249970,197090,20831,16424,4407,083700000
tacloban,58,414030,297520,34503,24793,9710,083747000
northern samar,145,296490,177810,24708,14818,9890,084800000
samar,196,231430,179190,19286,14933,4353,086000000
southern leyte,98,303510,230480,25293,19207,6086,086400000
biliran,45,307110,216820,25593,18068,7525,087800000
zamboanga del norte,251,237560,185950,19797,15496,4301,097200000
zamboanga del sur,230,231550,165370,19296,13781,5515,097300000
zamboanga,217,296270,254240,24689,21187,3502,097332000
zamboanga sibugay,172,261550,199400,21796,16617,5179,098300000
isabela,27,314300,224200,26192,18683,7509,099701000
bukidnon,363,254870,149050,21239,12421,8818,101300000
camiguin,23,324400,225080,27033,18757,8276,101800000
lanao del norte,167,253750,184180,21146,15348,5798,103500000
iligan,90,385260,264060,32105,22005,10100,103504000
misamis occidental,148,282330,243390,23528,20283,3245,104200000
misamis oriental,240,285000,193420,23750,16118,7632,104300000
cagayan de oro,205,386930,264370,32244,22031,10213,104305000
davao del norte,260,264910,219450,22076,18288,3788,112300000
davao del sur,209,292430,186720,24369,15560,8809,112400000
davao,564,412910,238470,34409,19873,14536,112402000
davao oriental,154,217750,157720,18146,13143,5003,112500000
davao de oro,195,277720,164950,23143,13746,9397,118200000
davao occidental,86,205800,150450,17150,12538,4612,118600000
cotabato,347,308530,212820,25711,17735,7976,129804000
south cotabato,269,251850,199320,20988,16610,4378,126300000
general santos,173,331820,243590,27652,20299,7353,126303000
sultan kudarat,201,293830,182200,24486,15183,9303,126500000
sarangani,148,203580,162310,16965,13526,3439,128000000
caraga,694,276570,213120,23048,17760,5288,null
agusan del norte,95,247800,209880,20650,17490,3160,160200000
butuan,94,378890,283330,31574,23611,7963,160202000
agusan del sur,184,224150,198150,18679,16513,2166,160300000
surigao del norte,136,333690,208970,27808,17414,10394,166700000
surigao del sur,153,247800,202660,20650,16888,3762,166800000
dinagat islands,31,258840,170620,21570,14218,7352,168500000
basilan,70,197820,155020,16485,12918,3567,150700000
lanao del sur,186,257470,217110,21456,18093,3363,153600000
maguindanao,234,156020,151450,13002,12621,381,153800000
maguindanao del sur,124,150800,147480,12567,12290,277,null
maguindanao del norte,110,161890,155910,13491,12993,498,null
sulu,161,228090,159940,19008,13328,5680,156600000
tawi-tawi,73,190000,122670,15833,10223,5610,157000000
cotabato,62,232510,215230,19376,17936,1440,129804000
